slug,name,issuer,annual_fee,cashback,revolving_rate,cash_advance_fee,source_url,last_verified,page_url
ctbc-cht,中國信託 中華電信聯名卡,中國信託商業銀行,"白金卡NT$1,500、御璽卡NT$1,800。2025年起需年消費滿NT$6萬才免次年年費（原電子帳單終身免年費已取消）",扣繳中華電信費2% Hami Point。Hami Pay/中華電信/神腦3%（含基本1%+限時加碼2%）。國內1%、國外2% Hami Point無上限,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-cht/
ctbc-asiamiles,中國信託 亞洲萬里通聯名卡,中國信託商業銀行,"NT$3,000，年消費12萬即免",海外每NT$15=1哩。國內每NT$25=1哩。亞洲萬里通哩程,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-asiamiles/
ctbc-biz-travel,中國信託 商旅鈦金卡,中國信託商業銀行,"NT$3,600，年消費15萬即免",海外消費2.1%。國內1%。商務艙/飯店訂房加碼。哩程累積可兌機票,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-biz-travel/
ctbc-shinkong,中國信託 新光三越聯名卡,中國信託商業銀行,"NT$2,000，年消費6萬即免",新光三越消費最高5%（週年慶加碼）。平日百貨2%。一般消費1%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-shinkong/
ctbc-cashback-signature,中國信託 現金回饋御璽卡,中國信託商業銀行,"NT$1,800，首年免年費。次年年費期間累積消費達NT$6萬即免",國內0.5%現金回饋。國外依當月國內消費分級：<2萬→0.5%、2~4萬→1%、4~10萬→1.5%、>10萬→2.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-cashback-signature/
ctbc-cashback-titanium,中國信託 現金回饋鈦金卡,中國信託商業銀行,首年免，次年消費3次即免,國內0.5%。國外0.5%。通路限制少但回饋率也低,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-cashback-titanium/
ctbc-lol,中國信託 英雄聯盟聯名卡,中國信託商業銀行,首年免，次年消費6次即免,遊戲儲值最高5%回饋。網購3%。一般消費1%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-lol/
ctbc-chinaair,中國信託 華航聯名卡,中國信託商業銀行,"NT$3,000，年消費12萬即免",華航消費每NT$5=1哩。海外每NT$20=1哩。國內每NT$25=1哩,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-chinaair/
ctbc-shopee,中國信託 蝦皮聯名卡,中國信託商業銀行,首年免，次年消費6次即免,蝦皮消費最高5%。國內1%。LINE POINTS回饋,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-shopee/
ctbc-disney,中國信託 迪士尼聯名卡,中國信託商業銀行,首年免，次年消費6次即免,迪士尼商店/樂園消費3%。一般消費1%。迪士尼+專屬活動,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-disney/
ctbc-infinite,中國信託 鼎極卡,中國信託商業銀行,"NT$25,000，無減免",無限卡等級，最高回饋依方案。機場貴賓室無限次。專屬秘書服務,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-infinite/
ctbc-familymart,中國信託全家聯名卡,中國信託商業銀行,免年費,全家消費 3% 回饋金、其他 0.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-familymart/
ctbc-student,中國信託小白卡（學生版）,中國信託商業銀行,免年費,指定通路 2% LINE POINTS、一般 0.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-student/
ctbc-shinkong-mitsukoshi,中國信託新光三越聯名卡,中國信託商業銀行,首年免，次年刷滿 8 萬免,新光三越消費 5% 回饋、百貨周年慶加碼 8%、一般 0.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-shinkong-mitsukoshi/
ctbc-starbucks,中國信託星巴克聯名卡,中國信託商業銀行,"$1,200，首年免",星巴克消費享買一送一或 5% 回饋、一般消費 0.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-starbucks/
ctbc-staralliance,中國信託星空聯盟飛遊卡,中國信託商業銀行,"$2,000，刷滿 30 萬免",海外消費 $30=1 哩、國內 $50=1 哩（長榮/星空聯盟）,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-staralliance/
ctbc-platinum,中國信託白金卡,中國信託商業銀行,首年免，次年刷滿 12 萬免,國內一般消費 0.5%、海外 1.5%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-platinum/
ctbc-twm,台灣大哥大 聯名卡（中信發行）,中國信託商業銀行,首年免，次年消費6次即免,台灣大帳單最高5%。myfone購物3%。國內1%,本行 ARMs 指數 ＋ 加碼利率 5.97%~13.47%，年利率上限 15%（循環利率基準日 104 年 9 月 1 日）,每筆預借金額 ×3.5% ＋ 新臺幣 150 元,https://www.ctbcbank.com/content/twrbo/zh_tw/cc_index/cc_product/cc_introduction_index/C_LINEPay.html,2026-08-27,https://cards.ampm-aiops.com/items/ctbc-twm/
fubon-costco,台北富邦 Costco聯名卡,台北富邦銀行,"NT$1,800，首年免年費。次年：年消費6萬或12次/持Costco會員/電子帳單/綁LINE/自扣，任一即免",Costco賣場內2%好多金回饋無上限。Costco線上3%。自助加油3%（加碼1%上限$200/月）。店外1%無上限。國外實體5%。好多金$1=NT$1可折Costco會費或賣場消費,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-costco/
fubon-jpoints,台北富邦 J Points卡,台北富邦銀行,首年免，次年消費3次即免,J POINTS回饋：一般1%、指定通路最高6%、新戶首3月最高10%。可1:1折抵消費,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-jpoints/
fubon-ju,台北富邦 JU卡,台北富邦銀行,"NT$1,800，首年免。次年消費3次或NT$3,000即免",J POINTS回饋：一般消費1%、指定通路最高6%、新戶首3個月最高10%。J POINTS可1:1折抵消費或兌換商品,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-ju/
fubon-j-card,台北富邦 J卡,台北富邦銀行,綁定 LINE Pay 或電子帳單免年費,日韓實體消費最高 10%,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-25,https://cards.ampm-aiops.com/items/fubon-j-card/
fubon-sogo,台北富邦 SOGO聯名卡,台北富邦銀行,"NT$1,800，年消費6萬即免",SOGO百貨消費最高5%（週年慶期間加碼）。一般消費1%。HAPPY GO點數累積,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-sogo/
fubon-momo,台北富邦 momo聯名卡,台北富邦銀行,"NT$1,800，免年費極易達成：momo刷一筆/電子帳單/綁富邦LINE/自扣，任一即免",momo購物網消費最高3%（精選品牌最高7%）momo幣回饋無上限。店外一般消費1%無上限（2026/4/1起改現金回饋）。高鐵/臺鐵最高8%需登錄,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-momo/
fubon-cht,台北富邦 中華電信聯名卡,台北富邦銀行,首年免，次年消費3次即免,中華電信帳單3%。國內1%。Hami相關消費加碼,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-cht/
fubon-twm,台北富邦 台灣大哥大聯名卡,台北富邦銀行,"首年免，次年NT$1,800（年消費6萬或12次即免）",台灣大哥大帳單5%（月上限約NT$500）。海外/加油/網購/串流2%。國內一般1%無上限,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-twm/
fubon-breeze,台北富邦 微風聯名卡,台北富邦銀行,"NT$1,800，年消費6萬即免",微風百貨消費最高5%（週年慶加碼更高）。一般消費1%。微風超市2%,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-breeze/
fubon-digital,台北富邦 數位生活卡,台北富邦銀行,首年免，次年消費3次即免,數位通路最高6%（網購/外送/串流/行動支付）。國內一般1%。國外2%,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-digital/
fubon-oneworld,富邦寰宇一家航空卡,台北富邦銀行,"$2,000，刷滿 25 萬免",海外消費 $28=1 哩、國內 $45=1 哩（寰宇一家聯盟）,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-oneworld/
fubon-platinum,富邦白金卡,台北富邦銀行,首年免，次年消費 6 次免,一般消費 0.7% 回饋金,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-platinum/
fubon-youth,富邦財神卡（青年版）,台北富邦銀行,免年費,國內 1%、海外 2%,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-youth/
fubon-apple,富邦銀行 Apple Card,台北富邦銀行,免年費,Apple Store 3%。Apple Pay消費2%。實體卡1%,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-apple/
fubon-open,富邦銀行 OpenPossible卡,台北富邦銀行,首年免，次年消費3次即免,行動支付最高6%（Apple/Google/Samsung Pay）。國內1%。國外2%,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-open/
fubon-signature,富邦銀行 御璽卡,台北富邦銀行,"NT$3,000，年消費12萬即免",依方案最高6%。機場貴賓室2次/年。旅平險5000萬,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-signature/
fubon-infinite,富邦銀行 無限卡,台北富邦銀行,"NT$20,000+",依方案最高6%。機場貴賓室無限次。高額旅平險,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-infinite/
fubon-evaair,富邦銀行 長榮航空聯名卡,台北富邦銀行,"NT$3,000，年消費12萬即免",長榮消費每NT$5=1哩。海外每NT$20=1哩。國內每NT$30=1哩,指數型房貸基準利率 (I) ＋ 加碼利率 4.75%~13.91%，年利率上限 15%（循環利率基準日 115.7.1）,每筆預借現金總額 ×3.5% ＋ 新臺幣 150 元,https://www.fubon.com/banking/personal/credit_card/all_card/all_card.htm,2026-08-27,https://cards.ampm-aiops.com/items/fubon-evaair/
taishin-gogo-legacy,台新銀行 @GOGO卡（已停發併入Richart）,台新國際商業銀行,原年費已不適用，參考Richart卡,已停止新申辦。原有持卡人權益已併入Richart卡體系。國內最高3.8%、網購最高6%（舊制）,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-gogo-legacy/
taishin-flygo-legacy,台新銀行 FlyGo卡（已停發併入Richart）,台新國際商業銀行,原年費已不適用，參考Richart卡,已停止新申辦。原有持卡人權益併入Richart卡。海外最高5%、旅遊保險（舊制）,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-flygo-legacy/
taishin-gogoro,台新銀行 Gogoro聯名卡,台新國際商業銀行,首年免，次年消費1次即免,Gogoro資費最高10%回饋。充電站5%。一般消費1%。新戶首3月加碼,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-09-04,https://cards.ampm-aiops.com/items/taishin-gogoro/
taishin-richart,台新銀行 Richart卡,台新國際商業銀行,"正/附卡年費NT$4,500，首年免年費，次年電子帳單/簡訊帳單可免",基本0.3%，指定通路最高10%（需綁定台新帳戶自動扣繳），新戶60天內LEVEL2最高3.8%,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-richart/
taishin-pxmart,台新銀行 大全聯聯名卡,台新國際商業銀行,首年免。次年消費1次即免,全聯消費最高3% PX Pay點數回饋。一般消費1%。全聯自有品牌商品加碼回饋。PX Pay綁定消費再加碼,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-09-04,https://cards.ampm-aiops.com/items/taishin-pxmart/
taishin-sun-legacy,台新銀行 太陽卡（已停發併入Richart）,台新國際商業銀行,原年費已不適用，參考Richart卡,已停止新申辦。原有持卡人權益併入Richart卡。國內最高2%、保費1%（舊制）,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-sun-legacy/
taishin-pet,台新銀行 寵物認同卡,台新國際商業銀行,首年免，次年消費3次即免,寵物醫院/寵物店最高5%。一般消費1%,2.88%~15%（差別循環信用利率，一般消費及預借現金適用，依電腦評等而定，循環利率基準日 115/1/2）,預借現金金額 ×3.5% ＋ 新臺幣 150 元,https://www.taishinbank.com.tw/TSB/personal/credit/intro/overview/cg047/card001/,2026-08-27,https://cards.ampm-aiops.com/items/taishin-pet/
